"filename", "language", "TypeScript", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\Пользователь\Desktop\angular\hr-automation\src\app\products\products-ordered\products-ordered.component.spec.ts", "TypeScript", 18, 0, 0, 0, 6, 24
"c:\Users\Пользователь\Desktop\angular\hr-automation\src\app\products\products-ordered\products-ordered.component.ts", "TypeScript", 17, 0, 0, 0, 4, 21
"c:\Users\Пользователь\Desktop\angular\hr-automation\src\app\services\alert.service.ts", "TypeScript", 14, 0, 0, 0, 2, 16
"c:\Users\Пользователь\Desktop\angular\hr-automation\src\app\services\auth.service.ts", "TypeScript", 56, 0, 0, 8, 5, 69
"c:\Users\Пользователь\Desktop\angular\hr-automation\src\app\services\dialog.service.ts", "TypeScript", 12, 0, 0, 0, 4, 16
"c:\Users\Пользователь\Desktop\angular\hr-automation\src\app\services\faq.service.ts", "TypeScript", 42, 0, 0, 0, 5, 47
"c:\Users\Пользователь\Desktop\angular\hr-automation\src\app\services\products.service.ts", "TypeScript", 26, 0, 0, 0, 5, 31
"c:\Users\Пользователь\Desktop\angular\hr-automation\src\app\services\token.service.ts", "TypeScript", 35, 0, 0, 0, 4, 39
"c:\Users\Пользователь\Desktop\angular\hr-automation\src\app\services\users.service.ts", "TypeScript", 46, 0, 0, 5, 7, 58
"c:\Users\Пользователь\Desktop\angular\hr-automation\src\app\shared\event-bus.service.ts", "TypeScript", 19, 0, 0, 0, 4, 23
"c:\Users\Пользователь\Desktop\angular\hr-automation\src\app\shared\event.class.ts", "TypeScript", 8, 0, 0, 0, 1, 9
"c:\Users\Пользователь\Desktop\angular\hr-automation\src\app\staff\edit-user\edit-user.component.css", "CSS", 0, 29, 0, 0, 1, 30
"c:\Users\Пользователь\Desktop\angular\hr-automation\src\app\staff\edit-user\edit-user.component.html", "HTML", 0, 0, 108, 0, 6, 114
"c:\Users\Пользователь\Desktop\angular\hr-automation\src\app\staff\edit-user\edit-user.component.spec.ts", "TypeScript", 18, 0, 0, 0, 6, 24
"c:\Users\Пользователь\Desktop\angular\hr-automation\src\app\staff\edit-user\edit-user.component.ts", "TypeScript", 130, 0, 0, 0, 15, 145
"c:\Users\Пользователь\Desktop\angular\hr-automation\src\app\staff\new-user\new-user.component.css", "CSS", 0, 35, 0, 0, 1, 36
"c:\Users\Пользователь\Desktop\angular\hr-automation\src\app\staff\new-user\new-user.component.html", "HTML", 0, 0, 118, 0, 8, 126
"c:\Users\Пользователь\Desktop\angular\hr-automation\src\app\staff\new-user\new-user.component.spec.ts", "TypeScript", 18, 0, 0, 0, 6, 24
"c:\Users\Пользователь\Desktop\angular\hr-automation\src\app\staff\new-user\new-user.component.ts", "TypeScript", 122, 0, 0, 0, 15, 137
"c:\Users\Пользователь\Desktop\angular\hr-automation\src\app\staff\staff.component.css", "CSS", 0, 48, 0, 0, 4, 52
"c:\Users\Пользователь\Desktop\angular\hr-automation\src\app\staff\staff.component.html", "HTML", 0, 0, 59, 0, 5, 64
"c:\Users\Пользователь\Desktop\angular\hr-automation\src\app\staff\staff.component.spec.ts", "TypeScript", 18, 0, 0, 0, 6, 24
"c:\Users\Пользователь\Desktop\angular\hr-automation\src\app\staff\staff.component.ts", "TypeScript", 28, 0, 0, 0, 3, 31
"c:\Users\Пользователь\Desktop\angular\hr-automation\src\app\staff\user\user.component.css", "CSS", 0, 63, 0, 0, 4, 67
"c:\Users\Пользователь\Desktop\angular\hr-automation\src\app\staff\user\user.component.html", "HTML", 0, 0, 69, 0, 4, 73
"c:\Users\Пользователь\Desktop\angular\hr-automation\src\app\staff\user\user.component.spec.ts", "TypeScript", 18, 0, 0, 0, 6, 24
"c:\Users\Пользователь\Desktop\angular\hr-automation\src\app\staff\user\user.component.ts", "TypeScript", 56, 0, 0, 0, 4, 60
"c:\Users\Пользователь\Desktop\angular\hr-automation\src\app\store\actions\faq.actions.ts", "TypeScript", 54, 0, 0, 7, 4, 65
"c:\Users\Пользователь\Desktop\angular\hr-automation\src\app\store\actions\products.actions.ts", "TypeScript", 26, 0, 0, 3, 5, 34
"c:\Users\Пользователь\Desktop\angular\hr-automation\src\app\store\actions\users.actions.ts", "TypeScript", 40, 0, 0, 5, 4, 49
"c:\Users\Пользователь\Desktop\angular\hr-automation\src\app\store\effects\faq.effects.ts", "TypeScript", 168, 0, 0, 0, 4, 172
"c:\Users\Пользователь\Desktop\angular\hr-automation\src\app\store\effects\products.effects.ts", "TypeScript", 81, 0, 0, 0, 5, 86
"c:\Users\Пользователь\Desktop\angular\hr-automation\src\app\store\effects\users.effects.ts", "TypeScript", 137, 0, 0, 0, 8, 145
"c:\Users\Пользователь\Desktop\angular\hr-automation\src\app\store\index.ts", "TypeScript", 10, 0, 0, 0, 2, 12
"c:\Users\Пользователь\Desktop\angular\hr-automation\src\app\store\reducers\app.reducers.ts", "TypeScript", 10, 0, 0, 0, 2, 12
"c:\Users\Пользователь\Desktop\angular\hr-automation\src\app\store\reducers\faq.reducer.ts", "TypeScript", 54, 0, 0, 3, 4, 61
"c:\Users\Пользователь\Desktop\angular\hr-automation\src\app\store\reducers\products.reducer.ts", "TypeScript", 12, 0, 0, 0, 4, 16
"c:\Users\Пользователь\Desktop\angular\hr-automation\src\app\store\reducers\user.reducer.ts", "TypeScript", 39, 0, 0, 0, 3, 42
"c:\Users\Пользователь\Desktop\angular\hr-automation\src\app\store\selectors\faq.selectors.ts", "TypeScript", 27, 0, 0, 0, 2, 29
"c:\Users\Пользователь\Desktop\angular\hr-automation\src\app\store\selectors\products.selectors.ts", "TypeScript", 17, 0, 0, 0, 2, 19
"c:\Users\Пользователь\Desktop\angular\hr-automation\src\app\store\selectors\user.selectors.ts", "TypeScript", 16, 0, 0, 0, 2, 18
"c:\Users\Пользователь\Desktop\angular\hr-automation\src\app\store\state\app.state.ts", "TypeScript", 16, 0, 0, 0, 1, 17
"c:\Users\Пользователь\Desktop\angular\hr-automation\src\app\store\state\faq.state.ts", "TypeScript", 12, 0, 0, 0, 2, 14
"c:\Users\Пользователь\Desktop\angular\hr-automation\src\app\store\state\products.state.ts", "TypeScript", 12, 0, 0, 0, 2, 14
"c:\Users\Пользователь\Desktop\angular\hr-automation\src\app\store\state\users.state.ts", "TypeScript", 20, 0, 0, 0, 2, 22
"Total", "-", 2666, 507, 1076, 39, 469, 4757
